spot_id,day,avg_poi_activity,hour,events_count
01BS8Q3ZFlLWq3FtB6UU,Monday,0.2,8,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.26,9,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.37,10,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.51,11,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.64,12,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.73,13,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.74,14,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.72,15,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.65,16,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.36,17,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.46,18,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.49,19,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.31,20,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.02,21,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.03,22,0
01BS8Q3ZFlLWq3FtB6UU,Monday,0.03,23,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.35,8,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.39,9,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.5,10,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.69,11,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.91,12,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.89,13,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.82,14,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.62,15,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.56,16,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.31,17,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.43,18,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.43,19,0
01BS8Q3ZFlLWq3FtB6UU,Tuesday,0.33,20,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.35,8,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.43,9,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.51,10,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.58,11,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.68,12,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.72,13,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.7,14,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.68,15,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.64,16,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.41,17,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.54,18,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.63,19,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.55,20,0
01BS8Q3ZFlLWq3FtB6UU,Wednesday,0.58,21,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.32,8,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.49,9,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.6,10,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.77,11,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.82,12,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.77,13,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.54,14,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.4,15,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.4,16,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.41,17,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.49,18,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.6,19,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.53,20,0
01BS8Q3ZFlLWq3FtB6UU,Thursday,0.58,21,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.22,8,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.32,9,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.56,10,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.75,11,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.98,12,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.91,13,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.89,14,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.81,15,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.81,16,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.62,17,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.77,18,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.87,19,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.78,20,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.64,21,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.55,22,0
01BS8Q3ZFlLWq3FtB6UU,Friday,0.65,23,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.26,8,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.5,9,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.63,10,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.78,11,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.87,12,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,1.0,13,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.98,14,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.83,15,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.67,16,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.57,17,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.73,18,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.75,19,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.72,20,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.7,21,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,0.7,22,0
01BS8Q3ZFlLWq3FtB6UU,Saturday,1.0,23,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.24,8,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.4,9,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.58,10,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.79,11,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.82,12,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.75,13,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.77,14,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.77,15,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.78,16,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.49,17,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.55,18,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.53,19,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.34,20,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.15,21,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.21,22,0
01BS8Q3ZFlLWq3FtB6UU,Sunday,0.23,23,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.23,7,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.3,8,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.46,9,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.43,10,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.4,11,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.46,12,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.48,13,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.45,14,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.34,15,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.3,16,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.37,17,1
0jiXXxUpTeHhhFoDiGu8,Monday,0.37,17,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.4,18,1
0jiXXxUpTeHhhFoDiGu8,Monday,0.4,18,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.35,19,1
0jiXXxUpTeHhhFoDiGu8,Monday,0.35,19,0
0jiXXxUpTeHhhFoDiGu8,Monday,0.22,20,1
0jiXXxUpTeHhhFoDiGu8,Monday,0.22,20,0
0jiXXxUpTeHhhFoDiGu8,Tuesday,0.08,7,0
0jiXXxUpTeHhhFoDiGu8,Tuesday,0.16,8,0
0jiXXxUpTeHhhFoDiGu8,Tuesday,0.23,9,0
0jiXXxUpTeHhhFoDiGu8,Tuesday,0.33,10,0
0jiXXxUpTeHhhFoDiGu8,Tuesday,0.41,11,0
0jiXXxUpTeHhhFoDiGu8,Tuesday,0.48,12,0
0jiXXxUpTeHhhFoDiGu8,Tuesday,0.43,13,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.13,7,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.21,8,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.28,9,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.45,10,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.44,11,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.56,12,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.5,13,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.39,14,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.32,15,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.29,16,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.32,17,1
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.32,17,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.36,18,1
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.36,18,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.33,19,1
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.33,19,0
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.28,20,2
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.28,20,1
0jiXXxUpTeHhhFoDiGu8,Wednesday,0.28,20,0
0jiXXxUpTeHhhFoDiGu8,Thursday,0.25,7,0
0jiXXxUpTeHhhFoDiGu8,Thursday,0.38,8,0
0jiXXxUpTeHhhFoDiGu8,Thursday,0.48,9,0
0jiXXxUpTeHhhFoDiGu8,Thursday,0.55,10,0
0jiXXxUpTeHhhFoDiGu8,Thursday,0.52,11,0
0jiXXxUpTeHhhFoDiGu8,Thursday,0.62,12,0
0jiXXxUpTeHhhFoDiGu8,Thursday,0.57,13,0
0jiXXxUpTeHhhFoDiGu8,Thursday,0.5,14,0
0jiXXxUpTeHhhFoDiGu8,Thursday,0.4,15,0
0jiXXxUpTeHhhFoDiGu8,Thursday,0.4,16,0
