name,date,time,location
Raleigh Pub Crawl and Haunted Adventure Tour,"3/1/2024, 3/2/2024, 3/8/2024, 3/9/2024, 3/15/2024, 3/16/2024, 3/22/2024, 3/23/2024, 3/29/2024, 3/30/2024, 4/5/2024, 4/6/2024, 4/12/2024, 4/13/2024, 4/19/2024, 4/20/2024, 4/26/2024, 4/27/2024, 5/3/2024, 5/4/2024, 5/10/2024, 5/11/2024, 5/17/2024, 5/18/2024, 5/24/2024, 5/25/2024, 5/31/2024",7:30PM-10:00PM,"35.77777876105491, -78.63958698796277"
Black Bouquet,2-Mar-24,9:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Glitter Hour: Amateur Drag and Queer Stage Show,"3/2/2024, 4/6/2024, 5/4/2024",9:00PM-12:00AM,"35.77538678001637, -78.63994381865449"
African American History Walking Tour,"3/2/2024, 3/9/2024, 3/16/2024, 3/23/2024, 3/30/2024, 4/6/2024, 4/13/2024, 4/20/2024, 4/27/2024, 5/4/2024, 5/11/2024, 5/18/2024, 5/25/2024",11:00AM-12:30PM,"35.77844338029446, -78.64010681865442"
Exhibit: Signs of the Times,"3/4/2024, 3/5/2024, 3/6/2024, 3/7/2024, 3/8/2024, 3/9/2024, 3/11/2024, 3/12/2024, 3/13/2024, 3/14/2024, 3/15/2024, 3/16/2024, 3/18/2024, 3/19/2024, 3/20/2024, 3/21/2024, 3/22/2024, 3/23/2024, 3/25/2024, 3/26/2024, 3/27/2024, 3/28/2024, 3/29/2024, 3/30/2024",9:00AM-5:00PM,"35.781957758980234, -78.63839170330847"
Exhibit: Signs of the Times,"3/10/2024, 3/17/2024, 3/24/2024, 3/31/2024",12:00PM-5:00PM,"35.781957758980234, -78.63839170330847"
HeART for Raleigh,"3/4/2024, 3/5/2024, 3/6/2024, 3/7/2024, 3/8/2024, 3/9/2024, 3/11/2024, 3/12/2024, 3/13/2024, 3/14/2024, 3/15/2024, 3/16/2024, 3/18/2024, 3/19/2024, 3/20/2024, 3/21/2024, 3/22/2024, 3/23/2024, 3/25/2024, 3/26/2024, 3/27/2024, 3/28/2024, 3/29/2024, 3/30/2024, 3/10/2024, 3/17/2024, 3/24/2024, 3/31/2024, 3/1/2024, 3/2/2024, 3/3/2024",5:00PM-9:00PM,"35.775920360900884, -78.63916273214507"
Pink Martini,3/1/24,8:00PM-11:00PM,"35.77153538522583, -78.6388689321453"
Pink Martini,3/2/24,3:00PM-7:00PM,"35.77153538522583, -78.6388689321453"
Goetia,3-Mar-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Frost Children,6-Mar-24,8:00PM-10:00PM,"35.77729396216962, -78.63983333214505"
Joel Lane House Tours,"3/1/2024, 3/6/2024, 3/7/2024, 3/8/2024, 3/13/2024, 3/14/2024, 3/15/2024, 3/20/2024, 3/21/2024, 3/22/2024, 3/27/2024, 3/28/2024, 3/29/2024, 4/3/2024, 4/4/2024, 4/5/2024, 4/10/2024, 4/11/2024, 4/12/2024, 4/17/2024, 4/18/2024, 4/19/2024, 4/24/2024, 4/25/2024, 4/26/2024, 5/1/2024, 5/2/2024, 5/3/2024, 5/8/2024, 5/9/2024, 5/10/2024, 5/15/2024, 5/16/2024, 5/17/2024, 5/22/2024, 5/23/2024, 5/24/2024, 5/29/2024, 5/30/2024, 5/31/2024",10:00AM-2:00PM,"35.7792050455761, -78.65075327447208"
An Evening With: ShadowGrass,7-Mar-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Carolina Ballet presents: The Little Mermaid,"3/9/2024, 3/10/2024, 3/16/2024, 3/17/2024, 3/23/2024, 3/24/2024",2:00PM-6:00PM,"35.77153538522583, -78.6388689321453"
Carolina Ballet presents: The Little Mermaid,"3/7/2024, 3/8/2024, 3/9/2024, 3/16/2024, 3/23/2024",7:30PM-11:30PM,"35.77153538522583, -78.6388689321453"
Ballyhoo,8-Mar-24,8:00PM-10:00PM,"35.77729396216962, -78.63983333214505"
Rhapsody in Blue with the North Carolina Symphony,"3/8/2024, 3/9/2024",8:00PM-9:30PM,"35.77175419933542, -78.64007003214522"
"Space Camp Music Group Presents: Soohan	",8-Mar-24,9:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
International Women's Day Expo,9-Mar-24,11:00AM-5:00PM,"35.77406011132276, -78.64102760145353"
"Dr Bacon X The Snozzberries	",10-Mar-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Gruff Rhys,10-Mar-24,8:00PM-10:00PM,"35.77729396216962, -78.63983333214505"
Forever Grey,12-Mar-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Candlelight: a Tribute to Adele,"3/12/2024, 4/23/2024",6:30PM-10:00PM,"35.78645563128422, -78.63571681679888"
Andy Frasco's World Saving Podcast,13-Mar-24,8:30PM-12:00AM,"35.77738888329628, -78.63671574378054"
2024 Down Home Concerts: Dom Flemons & Shultzs Dream,15-Mar-24,7:30PM-10:00PM,"35.77153538522583, -78.6388689321453"
"35.791472226839716, -78.66819013214453 presents: Trouble In Mind","3/15/2024, 3/16/2024, 3/21/2024, 3/22/2024, 3/23/2024, 3/28/2024, 3/29/2024, 3/30/2024",8:00PM-11:00PM,"35.791472226839716, -78.66819013214453"
"35.791472226839716, -78.66819013214453 presents: Trouble In Mind","3/17/2024, 3/24/2024, 3/31/2024",3:00PM-6:00PM,"35.791472226839716, -78.66819013214453"
Tooth,15-Mar-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Totally '80s with the North Carolina Symphony,"3/15/2024, 3/16/2024",8:00PM-9:30PM,"35.77175419933542, -78.64007003214522"
Raleigh St. Patrick's Day Parade,16-Mar-24,10:00AM-4:00PM,"35.77431754141296, -78.63917587447236"
Steeln' Peaches: an Allman Brothers Revue,16-Mar-24,9:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Playthrough Gaming Convention,3/16/24,10:00AM-10:00PM,"35.77406011132276, -78.64102760145353"
Playthrough Gaming Convention,3/17/24,10:00AM-6:00PM,"35.77406011132276, -78.64102760145353"
"NC Got Next: March Madness	",17-Mar-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Candlelight: Neo-Soul Favorites,"3/21/2024, 4/4/2024",7:00PM-10:00PM,"35.77914047830995, -78.63243347076177"
Driftwood,21-Mar-24,8:00PM-12:00AM,"35.77729396216962, -78.63983333214505"
"Florencia & The Feeling X Ranford Almond		",21-Mar-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Stravinsky Rite of Spring with the North Carolina Symphony,"3/22/2024, 3/23/2024",8:00PM-9:30PM,"35.77175419933542, -78.64007003214522"
"The Night Rider Presents: Necrocosm, Entrail Asphyxiation & Psychic Scream",22-Mar-24,7:00PM-1:00AM,"35.772717972690565, -78.64615663214524"
Easter Paint & Punch,23-Mar-24,1:00PM-4:00PM,"35.77844338029446, -78.64010681865442"
"Okey Dokey X By George	",23-Mar-24,9:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Raleigh Roasts,23-Mar-24,9:00AM-1:00PM,"35.77768306974556, -78.63583281865446"
Tar Heel Troubadours: Blue Cactus,23-Mar-24,6:30PM-9:00PM,"35.781957758980234, -78.63839170330847"
"The Night Rider Presents: Tyrant, Dysplacer & Blood Ritual",27-Mar-24,7:00PM-9:30PM,"35.772717972690565, -78.64615663214524"
Down Deep Presents: DEEP DIVE,28-Mar-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
The Messthetics and James Brandon Lewis,28-Mar-24,8:00PM-10:00PM,"35.77729396216962, -78.63983333214505"
Deep 6 (Pearl Jam),29-Mar-24,9:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Ali Siddiq: I Got A Story To Tell,30-Mar-24,7:00PM-9:30PM,"35.77153538522583, -78.6388689321453"
Community Market at Ruby Deluxe,"3/30/2024, 4/27/2024, 5/25/2024",12:00PM-3:00PM,"35.77536066661471, -78.63992236098159"
"Liz Hopkins: Growing Brighter Ep Release Show	",30-Mar-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Lua Flora & Hot Wendy,31-Mar-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
CAM Raleigh First Fridays,"3/1/2024, 4/5/2024, 5/3/2024",6:00PM-9:00PM,"35.77703895845136, -78.64566300330866"
First Friday,"3/1/2024, 4/5/2024, 5/3/2024",7:00PM-11:00PM,"35.775192453484514, -78.64220844563583"
"Alejandro Escovedo	",6-Apr-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Master Chorale Goes To The Movies,6-Apr-24,3:00PM-9:00PM,"35.80313929118162, -78.64574498796178"
North Carolina Symphony Young People's Concert: Peter & the Wolf,6-Apr-24,1:00PM-6:00PM,"35.77175419933542, -78.64007003214522"
